mag,spt,ag,pfine,d50,uwgwt,wt,wd,vts,outcome,,,,
6.93,8.3,0.25,35,0.1,110,0.3,3.3,656.167979,1,,,,
7.7,13.9,0.25,19,0.2,100,0.3,7.5,2784.612861,0,,,,
7.6,25.4,0.4,5,0.35,110,0.3,6.6,1377.952756,1,,,,
7.6,16.5,0.4,2,0.34,105,0.3,6.6,2021.817585,1,,,,
6.7,19,0.69,48,0.1,110,0.4,23.6,3336.614173,0,,,,
6.7,10.8,0.4,44.5,0.1,110,0.4,10.8,2503.28084,0,,,,
6.7,11.4,0.54,42.4,0.11,110,1.5,13.7,2358.103675,1,,,,
6.9,12.6,0.4,2,0.19,110,0.2,11.5,3416.174541,0,,,,
6.9,5.6,0.4,18,0.13,110,0.2,11.5,5159.120735,0,,,,
6.9,7.7,0.5,5,,110,0.3,4.8,2609.908136,0,,,,
6.9,12,0.5,15,,125,0.3,7.5,2596.784777,0,,,,
6.9,19.6,0.5,4.67,,100,0.3,12.0,2068.979659,0,,,,
6.9,21.2,0.5,5,,110,0.3,2.5,1747.047244,0,,,,
6.9,24.8,0.5,0,,115,0.3,7.7,1339.402887,0,,,,
6.9,21.5,0.4,8,,110,0.3,5.7,1554.2979,0,,,,
6.9,18,0.4,0,,110,0.3,6.6,1439.468504,0,,,,
6.9,23.5,0.4,9.29,,105,0.3,5.9,2752.624672,0,,,,
6.9,17.7,0.5,6.25,,110,0.3,6.7,1744.586614,0,,,,
6.9,22.5,0.35,0,,120,0.3,13.1,1984.908136,0,,,,
6.9,18.3,0.5,5,,115,0.3,9.8,3182.414698,0,,,,
6.9,14.9,0.4,0,,100,0.3,6.6,1492.782152,0,,,,
6.9,10.7,0.4,10,,110,0.3,3.8,1930.774278,0,,,,
6.9,14.8,0.35,20,,100,0.3,7.1,1709.317585,0,,,,
6.9,7.6,0.4,5,,110,0.3,5.1,1443.569554,0,,,,
6.9,7,0.35,1.25,,110,0.3,9.9,3345.800525,0,,,,
6.9,22.3,0.4,0,,110,0.3,10.4,998.687664,0,,,,
6.9,24,0.5,0,,100,0.3,9.7,1808.562992,0,,,,
6.9,12.4,0.5,2.33,,105,0.3,9.1,1531.496063,0,,,,
6.9,7.1,0.34,20,0.4,110,0.3,7.9,2998.687664,0,,,,
6.9,11.1,0.34,20,0.4,110,0.3,9.8,3838.582677,0,,,,
6.9,17.6,0.4,25,0.8,110,0.3,13.1,2878.937008,0,,,,
6.9,12.5,0.34,20,0.4,110,0.3,13.1,4396.325459,0,,,,
6.9,15.2,0.25,20,0.2,110,0.3,0.0,1792.158793,0,,,,
7.6,17.1,0.16,2,0.2,110,1.0,3.0,4056.049869,0,,,,
7.5,9.3,0.14,3,0.8,60,0.3,8.0,1020,0,,,,
7.6,22.3,0.18,2,0.2,110,0.3,6.0,2985.787402,1,,,,
7.6,26.7,0.18,2,0.2,110,0.3,6.0,4626.207349,0,,,,
7.6,14.4,0.18,0,0.36,100,0.4,8.2,2460.629921,1,,,,
7.6,42,0.18,0,0.3,110,0.3,4.0,2400.629921,0,,,,
8.3,38.4,0.23,5,0.25,115,0.3,7.0,2180,0,,,,
8.3,25.1,0.23,5,0.25,110,0.3,3.0,955,0,,,,
7.5,14.3,0.14,3,0.8,60,1.6,12.5,2640.3,1,,,,
7.6,23.9,0.22,5,0.17,100,0.3,9.4,1201.607612,0,,,,
7.6,33.1,0.5,10,0.2,110,0.3,9.8,1697.834646,0,,,,
7.5,13.8,0.2,4,0.29,110,0.3,4.0,940,0,,,,
7.5,13.8,0.2,3,0.24,110,0.3,7.0,1082.5,0,,,,
6.5,12.4,0.1,0,0.45,110,0.3,3.0,1938.503937,0,,,,
6.5,12.2,0.14,20,0.15,110,0.3,8.0,1199.527559,0,,,,
6.5,5.7,0.12,10,0.15,110,2.0,4.6,1410.761155,0,,,,
6.5,13.5,0.14,5,0.53,100,0.3,9.8,1181.102362,0,,,,
6.5,12.2,0.14,3,0.35,110,0.3,8.0,1630,0,,,,
6.5,9.6,0.12,4,0.28,110,0.3,4.3,1284.750656,0,,,,
6.5,9.3,0.14,5,0.34,110,0.3,14.0,2200,0,,,,
6.5,9.3,0.14,10,0.25,110,0.3,8.0,1691.653543,0,,,,
6.5,4,0.12,10,0.4,100,0.3,5.6,1233.088583,0,,,,
6.5,18.7,0.12,7,1.6,100,0.3,4.3,893.3727034,0,,,,
6.5,11.2,0.12,12,1.2,110,0.3,0.9,1172.572178,0,,,,
6.5,2.7,0.12,60,0.04,100,0.3,6.0,1257.545932,0,,,,
6.5,12.3,0.12,0,0.4,100,0.3,2.8,1420.603675,0,,,,
7.7,23.5,0.2,10,0.18,120,0.3,4.6,3015.475066,0,,,,
7.7,18,0.28,0,0.41,110,3.0,10.0,1582.677165,0,,,,
7.7,14.9,0.24,26,0.12,110,0.3,8.0,1755,0,,,,
7.7,24.9,0.32,4,0.28,110,0.3,3.0,1186.023622,0,,,,
7.7,24.6,0.24,17,0.35,120,0.5,4.3,3054.461942,0,,,,
7.7,26,0.24,0,0.6,110,0.3,7.1,2354.822835,0,,,,
6.53,46.5,0.47,13,0.11,100,0.3,5.9,1246.71916,1,,,,
6.53,18.6,0.47,25.25,0.09,100,0.3,5.9,1200.787402,1,,,,
6.53,7.1,0.13,83,0.04,100,0.4,9.0,1410,1,,,,
6.53,16.6,0.18,18,0.1,100,0.3,6.6,852.7664042,0,,,,
6.1,8.9,0.08,30,0.12,120,0.3,3.3,2165.354331,1,,,,
6.1,3.7,0.08,27,0.17,120,0.3,3.3,5708.661417,0,,,,
5.9,16.6,0.16,18,0.1,100,0.3,6.6,852.7664042,0,,,,
5.9,4,0.17,91,0.01,100,0.3,1.0,369.8031496,0,,,,
5.9,19.9,0.17,13.18,0.14,100,0.4,1.0,1595,1,,,,
5.9,7.9,0.09,19.75,0.11,110,0.3,5.0,1030,1,,,,
7.1,7.9,0.15,5,0.15,100,0.3,3.3,1177.001312,0,,,,
7.1,16.9,0.15,0,0.42,100,0.3,3.3,3576.115486,0,,,,
7.7,16,0.2,2.67,,120,3.0,5.7,1181.102362,0,,,,
7.7,5.2,0.05,66,,120,3.0,5.2,2066.929134,1,,,,
7.7,24,0.17,3,,120,3.0,4.8,2251.073064,0,,,,
6.2,6.2,0.09,43.5,0.07,100,0.4,6.6,1505.085302,0,,,,
6.2,11.3,0.13,26.2,0.11,100,0.4,3.0,1800,1,,,,
6.54,6.2,0.2,43.5,0.07,100,0.4,6.6,1505.085302,0,,,,
6.54,46.5,0.16,13,0.11,100,0.3,5.9,1246.71916,1,,,,
6.54,3.5,0.15,20.86,0.12,100,0.3,5.9,1103.018373,1,,,,
6.54,18.6,0.13,25.25,0.09,100,0.3,5.9,1200.787402,1,,,,
6.54,7.1,0.17,83,0.04,100,0.4,9.0,1410,1,,,,
6.54,7.9,0.16,19.75,0.11,110,0.3,5.0,1030,0,,,,
6.54,16.6,0.18,18,0.1,100,0.3,6.6,852.7664042,0,,,,
6.54,4,0.19,91,0.01,100,0.3,1.0,369.8031496,0,,,,
6.54,19.9,0.19,13.18,0.14,100,0.4,1.0,1595,1,,,,
6.93,43.8,0.24,7,0.28,120,0.3,9.8,2616.469816,0,,,,
6.93,15.1,0.25,5,0.55,110,0.1,5.5,748.9946569,0,,,,
